id,email,username,display_name,phone,phone_contact_enabled,nationality,school,grade,zip_code,default_radius_mi,default_filter_same_zip,default_filter_same_nationality,default_filter_same_school,is_verified,status,created_at,updated_at
109a3466-1b74-42ea-b890-dda986caf387,wz9821@columbia.edu,wei_zh,Wei Zhang,+13475550185,true,TW,seas_undergrad,undergraduate,10027,1.0,false,false,false,true,active,2026-09-02T17:55:00+00:00,2026-09-02T18:00:00+00:00
0e164fd3-3756-4f01-a71d-7a130995921d,nd2652@columbia.edu,nathan_do,,+16465550154,true,US,seas_grad,graduate,10031,2.5,true,false,false,true,active,2026-01-24T23:30:37+00:00,2026-02-03T11:21:09+00:00
9c4bc13c-455f-4bc8-af64-d6ff11a380b4,gm3129@columbia.edu,grace_ma,,,true,US,cbs,graduate,10027,2.5,false,false,false,true,active,2026-02-17T05:26:23+00:00,2026-03-03T10:50:46+00:00
f04a183f-150b-4c94-add4-8f70333e2504,oq8965@columbia.edu,owen_qu,,+12125550196,true,US,gsas,graduate,11205,10.0,false,false,false,true,active,2025-08-29T10:18:53+00:00,2025-09-15T22:05:03+00:00
46d70937-d07e-4077-b289-a72c50dbc1f5,ym8263@columbia.edu,yifan_ma,Yifan Ma,+19295550116,false,CN,general_studies,undergraduate,10027,0.5,true,false,false,true,active,2026-01-25T07:48:58+00:00,2026-02-13T20:55:34+00:00
a9ed43c7-b716-4055-97db-efe07e46285d,dk6389@columbia.edu,dmitri_ko,Dmitri Kowalski,,true,RU,seas_grad,graduate,10025,2.5,false,false,false,true,active,2026-01-21T13:06:20+00:00,2026-02-09T19:55:05+00:00
0f42d78d-fb76-4dbf-ac1f-01a020bae3c1,jm4505@columbia.edu,julian_ma,,,true,US,cbs,graduate,10027,2.5,false,false,false,true,active,2026-09-02T17:55:00+00:00,2026-09-02T18:00:00+00:00
e5b05247-d5c5-41cb-bf08-a56d351e6242,kc1529@columbia.edu,kanya_ch,,,true,TH,general_studies,undergraduate,10027,2.5,false,false,false,true,active,2026-01-23T14:50:57+00:00,2026-02-10T13:07:20+00:00
405b7524-8b1b-4475-ad96-825a01e94fc9,oh3696@columbia.edu,olivia_ha,,,true,US,cbs,graduate,11101,2.5,false,true,false,true,active,2026-02-19T10:51:34+00:00,2026-02-25T23:31:54+00:00
a912d71f-44ec-49d4-934d-09f818efe3b8,kn4595@columbia.edu,karim_na,,+16465550199,true,EG,seas_undergrad,undergraduate,10027,5.0,true,false,false,true,active,2026-09-02T17:55:00+00:00,2026-09-02T18:00:00+00:00
52d44442-4dbc-40af-bbe3-a97d1e165b33,no8804@columbia.edu,ngozi_ot,,+19295550138,true,GH,teachers_college,graduate,11215,10.0,false,false,false,true,active,2025-09-17T09:24:58+00:00,2025-10-27T12:07:00+00:00
ce44b626-aa47-48a3-b23b-c2866dfefd6d,wz7499@columbia.edu,wei.zhou,,+16465550169,true,CN,sipa,graduate,10027,2.5,false,false,false,true,active,2025-08-25T09:58:00+00:00,2025-09-13T18:05:34+00:00
0bf5bc95-72e0-4a6b-83b2-827b521b7405,vk6163@columbia.edu,vinayak_ku,,,true,IN,seas_grad,graduate,10027,2.5,false,false,false,true,active,2026-09-02T17:55:00+00:00,2026-09-02T18:00:00+00:00
3c93bac9-6c00-45ff-868a-2fca9fd92411,ts8644@columbia.edu,taeyang_se,김지우 (Jiwoo Kim),+12125550193,true,KR,columbia_college,undergraduate,10022,5.0,false,false,false,true,active,2025-08-25T15:32:39+00:00,2025-09-01T21:50:23+00:00
15d52282-aa0d-49e9-9796-e5c609b8facd,mh7951@columbia.edu,minjun_hw,Minjun Hwang,+13475550185,true,KR,cbs,graduate,10027,5.0,false,true,false,true,active,2026-09-02T17:55:00+00:00,2026-09-02T18:00:00+00:00
